MAE,RMSE,R2,Bias
0.3265634213200963,0.4502848338381049,0.8719008802313453,-0.15911021357531638
0.33184797606567434,0.466164907959337,0.8662681057556946,-0.16396923951563996
0.3450345085378687,0.49405621441928066,0.8733908766276404,-0.14850975520760928
0.3735652190706349,0.5396788933556342,0.8186530349670413,-0.17640439814553435
0.34734019787244025,0.47347473433460874,0.8665455468353864,-0.19170173963964837
0.37414111821940865,0.5195700590526185,0.8260749767168303,-0.18517425699138867
0.32824915947431266,0.46238245578947806,0.8574103437809563,-0.13103272137555091
0.36350896484336626,0.5082851547520876,0.8482916076720731,-0.13411388172899213
0.3625997588192407,0.5050006975390753,0.861640455240626,-0.10028859040772196
0.37389635422753376,0.5423746142614873,0.8255902533502292,-0.18817880451604974
0.3245272377537079,0.4454953780971455,0.8758275073298066,-0.16750706873562607
0.336106190366307,0.4765353393779191,0.8734146697001429,-0.2096833141833276
0.37712140621217194,0.5494007368565454,0.8374554466881896,-0.15300391233488903
0.37245494756487774,0.5247516871239699,0.8417558073846313,-0.1385515367579524
0.4499560321822427,0.6208031006561656,0.7666444129442616,-0.12870844650197194
0.32240297719838923,0.4363727095196373,0.8796691978861312,-0.1377015752517288
0.3477432800147442,0.4817341231230525,0.8570323136098628,-0.12077385402848377
0.32705442486667674,0.4407466363154217,0.8651894334852306,-0.1110287377671532
0.3366692115105617,0.4689060996875947,0.8705606135085339,-0.12524332076689473
0.39969650530581347,0.5579164580878686,0.8322808765591014,-0.14007441516161384
0.35477607530643,0.48159193616770835,0.8503010137413498,-0.10074731978094684
0.325961034865187,0.458459207961315,0.876260975624796,-0.18281953991628794
0.33741292249288823,0.4697516143307854,0.8382544741058895,-0.17003796770315652
0.3498093014057912,0.4829261217497685,0.8559499718620807,-0.037563912440852096
0.33170402474721483,0.4536579258635583,0.8595230513384146,-0.14774943475660476
0.34821266103411297,0.48151439835762616,0.87586234832697,-0.12470487125738976
0.3398216801156084,0.4723098563573761,0.8833551238197029,-0.11727575516917907
0.35029019779687065,0.4712450155903736,0.8638254320440849,-0.15371196774791931
0.32752862914946923,0.44630874804095466,0.875191929115776,-0.13498318710541599
0.3522189168043924,0.5013433346659321,0.8637888489926067,-0.20573776943653968
0.3338041338284848,0.4715858562703813,0.8825977535596554,-0.1578596797996211
0.3617279963334257,0.5107267006985594,0.8284247985754816,-0.1321193589751042
0.3702557858606667,0.5379960612416971,0.8312928663366481,-0.18703782805312663
0.373015006237934,0.5258440032185053,0.8384438051956553,-0.1698249084818855
0.36462903386557827,0.5182447840214803,0.8388282027842624,-0.11090303999675845
0.35123416864198126,0.49237254320180296,0.8552066849928385,-0.16670999895973673
0.33325545103398074,0.4755848938176892,0.8728626504446301,-0.14803561818053151
0.33224342056801925,0.4614599359447125,0.8670591593003626,-0.12003803050493454
0.3246232069608429,0.4382803174884652,0.8604607228126135,-0.22315993126265227
0.34299366851359747,0.4891655792501897,0.8576584228573243,-0.1316516546260241
0.3503586763617726,0.4927072840539885,0.8614248194502248,-0.24442185931039023
0.4222148533727742,0.6112396577131368,0.8005528266236579,-0.24375375309421862
0.36555174630466186,0.5176287846852857,0.8216974318505984,-0.18854965008487137
0.37237794510395233,0.5336875190064608,0.8388633550431985,-0.23888075457142088
0.40548071150721876,0.579997640931805,0.8106790924534604,-0.15901146797927823
0.3602919108895147,0.5042603565650158,0.835800707350888,-0.09924850670729551
0.3577869348880989,0.48811275887891875,0.8473725089582751,-0.16068479600095897
0.3900013859761342,0.5432402822801289,0.8226249547144469,-0.003422306473415351
0.33685968341697126,0.47385735420676534,0.865459370941466,-0.18073086896046756
0.3293146523897298,0.4412754658156591,0.8571673192295568,-0.11535314333576525
0.3368940923157278,0.4595954384032346,0.8767089103457042,-0.1715061776092808
0.3703229534580215,0.5227347103347089,0.8518346358285527,-0.20829971975342773
0.36265647776409454,0.4933970531309008,0.8503467151415066,-0.11555575879617033
0.35531925714207324,0.48999278182060574,0.8662347019962886,-0.168155985208158
0.36682328380059404,0.5021918660710407,0.8467161225175159,-0.09370142336902107
0.365904326129406,0.5211932763877162,0.8238896206998838,-0.1857817034221382
0.33570170897731544,0.47345936503023484,0.8628383938153591,-0.15198560107766793
0.3578235048583518,0.5049491203827857,0.864334598159947,-0.09745739612299367
0.4058883768080635,0.5640841303520467,0.7904508530812505,-0.1208521859642116
0.3628991447347362,0.5061507478631618,0.8439096828287234,-0.12414518080304004
0.3787745806135717,0.5268384005914462,0.8236032274869645,-0.18477441363036426
0.36351788344539904,0.5033694235394389,0.8592408166481886,-0.13571655392023926
0.35280128828754836,0.4946340634600719,0.8628520765106573,-0.15005917871696084
0.335495266367471,0.4859774955779967,0.857381321799423,-0.17364304112995482
0.33994065726113926,0.47370305776467436,0.8834954990493986,-0.18035522234638626
0.33694789826944466,0.4859020162190182,0.8605568386442327,-0.16058424596748014
0.35613046552537786,0.49929528624955416,0.8396716822461086,-0.18735016141578179
0.39442413013808025,0.5444859537388516,0.8444200664679238,-0.15217476579185943
0.356041919328565,0.5014642423035438,0.8616290203204717,-0.16283585960640787
0.37797918411076376,0.5359798791360134,0.8190808415662304,-0.21222992132170618
0.3582740340637286,0.503761081276572,0.8479583427476427,-0.12230310406277627
0.34887155911016365,0.4932903596951218,0.8420681516405495,-0.23083307403160813
0.3431864805855055,0.48603016143029415,0.8578252274543559,-0.12994470308124603
0.3414305073974148,0.4842535511888765,0.846453344995365,-0.1630753172236814
0.38650319511472764,0.5580231083778678,0.813363587922391,-0.224188816656272
0.3586994232522739,0.5057401590546171,0.8348335190453113,-0.13922195749328048
0.43587765882915114,0.6057174528381862,0.7689766058845912,-0.1679292033265993
0.3584056996321851,0.49680721466077404,0.8649990966090209,-0.1277506054345418
0.38085884904552497,0.5488038168031428,0.819539375551133,-0.19932600693725508
0.32998109558756256,0.4870953104976024,0.8512801540172593,-0.15814779435503912
0.314735425902626,0.4350792765518291,0.8840529479241857,-0.1691927794186279
0.32415989884190877,0.449872467920588,0.8731317289186814,-0.14553086011439545
0.3778526632418072,0.513040994172161,0.8642728742176462,-0.13889620908060632
0.31634723328203845,0.4450444710689835,0.867058067304948,-0.13025033548285467
0.37738179906263936,0.5301142656406522,0.8454506026974192,-0.15541064523061093
0.4016832152104863,0.5689028947787205,0.8161183631272506,-0.09741841501628044
0.37975923655772953,0.5392094720404379,0.8347578065039507,-0.11718214060472755
0.34593719916897875,0.4938047117473041,0.8463893286598699,-0.21037018599690027
0.3886155478980263,0.5495233557983059,0.8299851361826108,-0.22170222823727823
0.36073835232710444,0.5214201410693478,0.856593214741241,-0.20643003719123873
0.3430738014152696,0.48874781314317084,0.8566025940524589,-0.22759039312793006
0.3503926024461604,0.4793447412744738,0.8596914310334695,-0.11172640173678786
