MAE,RMSE,R2,Bias
0.2776544181316436,0.4257484371889544,0.8854809778123334,-0.04023353688745411
0.29757783585060527,0.45102070316154713,0.8748160080243548,-0.07249917212532646
0.3207776764858354,0.48332754296011327,0.8788299301530509,-0.010363590463972451
0.34502150855616387,0.5290188834995884,0.8257463939178319,-0.07615415146616937
0.29214843221086967,0.45340218211414385,0.877621066558022,-0.05181439786828417
0.33144703820843824,0.5012405217646378,0.8381300679708421,-0.05265757151173167
0.2924752934677221,0.4499872860596677,0.8649527284695565,-0.04032159528971087
0.330826902985403,0.4953691750634495,0.8559037389714534,-0.022525356844449347
0.34132184842775204,0.5033883595154138,0.8625225381113838,0.013842765498114147
0.3378593538531361,0.52302097680407,0.8378151596552931,-0.07649414871068365
0.28395666493239985,0.4294265350103683,0.8846236628182541,-0.04363781830995402
0.29845001588826503,0.4547741139963819,0.8847118617426214,-0.07860001827515263
0.35655512997076083,0.5360713707957979,0.8452469652484355,-0.03538687623164646
0.34175621244285936,0.515226614627197,0.8474484335129316,-0.013075588899276533
0.4149444727960565,0.6123376706787428,0.7729652140883908,-0.026243331370981202
0.28564645660665156,0.43011500054371105,0.883095608574696,-0.03693803724366135
0.3102336828983359,0.4672342513754365,0.865509250871907,-0.013671880470196865
0.2897049999322816,0.4320387989614931,0.8704637200161994,-0.02883676380406932
0.30639648728187563,0.4652580028363394,0.8725668596547038,-0.0187145432097286
0.37410543308518246,0.5522722392599491,0.8356572065209869,-0.009716072548478177
0.33167939943459895,0.4871057180346983,0.8468535613659223,-0.0025986988906925197
0.29545603346666394,0.44559725530486655,0.8831065162158234,-0.05862356013822883
0.29126031640652844,0.4552824742258798,0.8480650877525271,-0.06628422065519969
0.3300729846412235,0.48581018881187954,0.8542242814507122,0.06512493669900558
0.27307138260383795,0.4238752583170526,0.877362244236422,-0.034572859269061305
0.3117345402370028,0.4616764209642807,0.88588036904077,0.01147119627053127
0.3193936555724972,0.4649451909578469,0.8869644194616462,0.014712313870880633
0.2933798485958924,0.44093787182028227,0.8807777619890688,-0.029580641001474405
0.29399249966132673,0.43505901730541224,0.8814044972110354,-0.039148625271543336
0.3197780019545324,0.49294687937157844,0.8683131481840631,-0.09230419135340151
0.3103826860619566,0.4588788434916827,0.8888393866071916,-0.0442090368828642
0.3290684368335097,0.49882878714099793,0.836325731849511,-0.04473068163782618
0.33483401139021873,0.5250441383411981,0.8393181278440848,-0.0738444756447048
0.3314371204582466,0.5059270122120649,0.8504503159766991,-0.05006948201096981
0.33757063358498884,0.5084342739358911,0.8448724951225047,-0.018330436940672133
0.32136601169883766,0.4860207440985603,0.8589183696840109,-0.032541027386291464
0.31193614328131125,0.4684606879001318,0.8766431263825754,-0.027363749353585955
0.2902551159874035,0.4338686690945501,0.8824812949783063,0.01627918644323382
0.2717391094924268,0.4230115812646012,0.8700138594317125,-0.11028181573546916
0.30855935505680426,0.4674179833906586,0.8700336780030028,-0.008319655920219127
0.29735911803321174,0.46392263365948117,0.8771433667201449,-0.11411350074495555
0.38308790578732327,0.5901729176756878,0.8140640398436777,-0.14052131162148995
0.3192901305685334,0.5085465236787508,0.8278994966543991,-0.061484346163008366
0.3245020923687576,0.501746577309125,0.8575740708413404,-0.10763788333646275
0.3779152988787754,0.5699676027870422,0.8171704184878773,-0.039323929948643664
0.34128484410973753,0.5103656818399612,0.8318005558583126,-0.012837202040455957
0.3044040394983957,0.4635343752710771,0.8623562999897112,-0.042118784586036885
0.3668629554207911,0.5387593494482061,0.8255390525871702,0.0935938457295164
0.3011266937218511,0.46016648450154074,0.8731214601050027,-0.07296332691982685
0.28858107923720605,0.4293262448555263,0.8647980675791531,-0.013088668712626712
0.3045777017195722,0.4483071624322657,0.8826909205610723,-0.0691346100396318
0.32438337097714603,0.5083176361874177,0.8598947624072619,-0.05157221655259028
0.32906047572382446,0.4866589924627951,0.8544062752884698,-0.032662396278632135
0.3107154801175853,0.4604746916214595,0.8818658045085468,-0.04100554321910779
0.32621547608371565,0.48755531405565594,0.8555209364549441,0.018490159106499603
0.33023982236309357,0.5145296274973318,0.8283641054231399,-0.07763517768518638
0.2951750467826024,0.45653170747977373,0.8724709773428988,-0.03706541445753976
0.3280860859084602,0.49003060268937676,0.8722325370574405,0.008765561846560365
0.36629099969865064,0.5538139380356647,0.7980118474681458,-0.014594935420176331
0.32953207903363424,0.49239271182106237,0.8522799556110644,-0.006532861901225634
0.33066298620376827,0.5085358236720584,0.8356465240019788,-0.06906911006326928
0.333933606535916,0.4969386452591092,0.8628143709347571,-0.01550465919205498
0.3115294532949405,0.4657772015157697,0.8783876589993401,-0.043674368473317224
0.30629105964915937,0.47879975367875743,0.8615630806157724,-0.07452233157407767
0.3110635440999208,0.4661881714036442,0.8871626631307079,-0.04675782024244959
0.3080141110230943,0.4717822026062229,0.8685432396500631,-0.04845167844991957
0.3178481878535893,0.48580572857251314,0.8482178965636844,-0.08956259121241346
0.3516885386529941,0.5229084457707702,0.8565067298165705,-0.013172591743976775
0.31574330136164686,0.4791905808120722,0.873648145509204,-0.04683615777210496
0.34359213870130734,0.532162409949326,0.8216488251077304,-0.08413970375547007
0.32425830665366195,0.4914368568312421,0.8553065675881417,-0.013314019364117975
0.2980708395743631,0.4694636566442347,0.8569564050823114,-0.10768659791071052
0.31645032226312214,0.4808279351386951,0.8608524759929708,-0.025697834175175155
0.3019118485158724,0.46616056936297184,0.8577128100780087,-0.0481026882235159
0.35321489134545875,0.5447827166842653,0.8221152772730093,-0.11049981001898466
0.3178309123089129,0.4872979093586324,0.8466597628937211,-0.03475750981934687
0.39464254738540316,0.5919284901416052,0.7793752287988198,-0.05310271881740412
0.31419784535549433,0.4674893812970015,0.8804624397166453,-0.0021176516742038762
