year,topic,count,cohort
2018,gas_olfaction_mapping,10,all_unique
2018,other,142,all_unique
2018,outdoor_navigation_fusion,5,all_unique
2018,particulate_air_quality,20,all_unique
2018,robotic_environmental_monitoring,2,all_unique
2018,robotic_sampling,1,all_unique
2018,water_quality_monitoring,16,all_unique
2019,embedded_environmental_sensing,4,all_unique
2019,four_wheel_steering,23,all_unique
2019,gas_olfaction_mapping,16,all_unique
2019,other,157,all_unique
2019,outdoor_navigation_fusion,9,all_unique
2019,particulate_air_quality,25,all_unique
2019,robotic_environmental_monitoring,3,all_unique
2019,water_quality_monitoring,17,all_unique
2020,embedded_environmental_sensing,3,all_unique
2020,four_wheel_steering,18,all_unique
2020,gas_olfaction_mapping,12,all_unique
2020,gas_sensor_calibration,5,all_unique
2020,other,176,all_unique
2020,outdoor_navigation_fusion,5,all_unique
2020,particulate_air_quality,26,all_unique
2020,robotic_environmental_monitoring,4,all_unique
2020,water_quality_monitoring,20,all_unique
2021,embedded_environmental_sensing,3,all_unique
2021,four_wheel_steering,24,all_unique
2021,gas_olfaction_mapping,6,all_unique
2021,gas_sensor_calibration,2,all_unique
2021,other,157,all_unique
2021,outdoor_navigation_fusion,4,all_unique
2021,particulate_air_quality,44,all_unique
2021,robotic_sampling,2,all_unique
2021,water_quality_monitoring,27,all_unique
2022,embedded_environmental_sensing,10,all_unique
2022,four_wheel_steering,16,all_unique
2022,gas_olfaction_mapping,20,all_unique
2022,gas_sensor_calibration,6,all_unique
2022,other,173,all_unique
2022,outdoor_navigation_fusion,5,all_unique
2022,particulate_air_quality,36,all_unique
2022,robotic_environmental_monitoring,3,all_unique
2022,water_quality_monitoring,15,all_unique
2023,embedded_environmental_sensing,8,all_unique
2023,four_wheel_steering,26,all_unique
2023,gas_olfaction_mapping,19,all_unique
2023,gas_sensor_calibration,5,all_unique
2023,other,212,all_unique
2023,outdoor_navigation_fusion,9,all_unique
2023,particulate_air_quality,59,all_unique
2023,robotic_environmental_monitoring,5,all_unique
2023,robotic_sampling,1,all_unique
2023,water_quality_monitoring,30,all_unique
2024,embedded_environmental_sensing,2,all_unique
2024,four_wheel_steering,34,all_unique
2024,gas_olfaction_mapping,28,all_unique
2024,gas_sensor_calibration,5,all_unique
2024,other,215,all_unique
2024,outdoor_navigation_fusion,3,all_unique
2024,particulate_air_quality,53,all_unique
2024,robotic_environmental_monitoring,3,all_unique
2024,robotic_sampling,1,all_unique
2024,water_quality_monitoring,25,all_unique
2025,embedded_environmental_sensing,1,all_unique
2025,four_wheel_steering,46,all_unique
2025,gas_olfaction_mapping,20,all_unique
2025,gas_sensor_calibration,5,all_unique
2025,other,232,all_unique
2025,outdoor_navigation_fusion,7,all_unique
2025,particulate_air_quality,47,all_unique
2025,robotic_environmental_monitoring,9,all_unique
2025,robotic_sampling,1,all_unique
2025,water_quality_monitoring,31,all_unique
2026,embedded_environmental_sensing,6,all_unique
2026,four_wheel_steering,33,all_unique
2026,gas_olfaction_mapping,15,all_unique
2026,gas_sensor_calibration,3,all_unique
2026,other,175,all_unique
2026,outdoor_navigation_fusion,8,all_unique
2026,particulate_air_quality,52,all_unique
2026,robotic_environmental_monitoring,9,all_unique
2026,robotic_sampling,1,all_unique
2026,water_quality_monitoring,22,all_unique
