year,count,cohort
2001,1,shortlist
2002,1,shortlist
2008,2,shortlist
2009,3,shortlist
2010,1,shortlist
2011,1,shortlist
2012,3,shortlist
2013,6,shortlist
2014,1,shortlist
2015,4,shortlist
2016,2,shortlist
2017,8,shortlist
2018,9,shortlist
2019,6,shortlist
2020,8,shortlist
2021,18,shortlist
2022,12,shortlist
2023,16,shortlist
2024,15,shortlist
2025,18,shortlist
2026,15,shortlist
