mass_kg,grade_deg,steady_force_N,wheel_output_torque_Nm,minimum_uniform_mu,wheel_output_torque_Nm_at_accel_0p1
15.0,0.0,8.825985,0.308909475,0.06,0.3614094749999999
15.0,0.25,9.46774268794289,0.3313709940780012,0.06436335082070156,0.3838709940780012
15.0,0.5,10.109320123712461,0.35382620432993617,0.06872686779075879,0.40632620432993616
15.0,0.75,10.750705092599146,0.37627467824097016,0.07309071708483508,0.4287746782409701
15.0,1.0,11.391885383557677,0.3987159884245187,0.07745506492821758,0.4512159884245187
15.0,1.25,12.032848789439553,0.4211497076303844,0.08182007762214948,0.47364970763038433
15.0,1.5,12.673583107225456,0.443575408752891,0.08618592156918693,0.496075408752891
15.0,1.75,13.314076138257574,0.46599266483901514,0.09055276329858886,0.5184926648390151
15.0,2.0,13.95431568847185,0.48840104909651477,0.09492076949174773,0.5409010490965148
15.0,2.25,14.59428956863013,0.5108001349020546,0.09929010700766963,0.5633001349020547
15.0,2.5,15.233985594552236,0.5331894958093283,0.10366094290851205,0.5856894958093284
15.0,2.75,15.873391587347939,0.555568705557178,0.10803344448518745,0.608068705557178
15.0,3.0,16.51249537364882,0.5779373380777089,0.11240777928304121,0.6304373380777089
15.0,3.25,17.151284785840044,0.6002949675044016,0.11678411512761214,0.6527949675044016
15.0,3.5,17.789747662291983,0.6226411681802194,0.1211626201504843,0.6751411681802196
15.0,3.75,18.4278718475918,0.644975514665713,0.1255434628152382,0.6974755146657131
15.0,4.0,19.06564519277485,0.6672975817471197,0.1299268119435104,0.7197975817471197
15.0,4.25,19.703055555555963,0.6896069444444588,0.13431283674116962,0.7421069444444589
15.0,4.5,20.34009080056064,0.7119031780196224,0.13870170682461844,0.7644031780196224
15.0,4.75,20.976738799556085,0.734185857984463,0.1430935922472295,0.786685857984463
15.0,5.0,21.6129874316821,0.7564545601088736,0.147488663525924,0.8089545601088737
15.0,5.25,22.248824583681877,0.7787088604288658,0.15188709166790293,0.8312088604288658
15.0,5.5,22.88423815013256,0.8009483352546397,0.1562890481975386,0.8534483352546398
15.0,5.75,23.51921603367579,0.8231725611786527,0.1606947051834366,0.8756725611786527
15.0,6.0,24.153746145247954,0.8453811150836785,0.16510423526567647,0.8978811150836786
15.0,6.25,24.787816404310394,0.8675735741508639,0.16951781168324145,0.9200735741508639
15.0,6.5,25.421414739079356,0.8897495158677775,0.1739356083016455,0.9422495158677777
15.0,6.75,26.054529086755878,0.9119085180364558,0.1783577996407678,0.9644085180364559
15.0,7.0,26.687147393755374,0.9340501587814382,0.1827845609029046,0.9865501587814381
15.0,7.25,27.31925761593719,0.9561740165578018,0.18721606800104693,1.0086740165578019
15.0,7.5,27.95084771883386,0.9782796701591852,0.19165249758739583,1.0307796701591851
15.0,7.75,28.581905677880243,1.0003666987258086,0.19609402708212353,1.0528666987258086
15.0,8.0,29.212419478642456,1.022434681752486,0.20054083470239145,1.074934681752486
15.0,8.25,29.842377117046585,1.0444831990966306,0.2049930994916353,1.0969831990966306
15.0,8.5,30.471766599607268,1.0665118309862545,0.2094510013491278,1.1190118309862547
15.0,8.75,31.100575943655993,1.08852015802796,0.21391472105982903,1.14102015802796
15.0,9.0,31.728793177569273,1.1105077612149246,0.21838444032453627,1.1630077612149246
15.0,9.25,32.35640634099652,1.1324742219348785,0.22286034179034306,1.1849742219348787
15.0,9.5,32.9834034850878,1.154419121978073,0.22734260908141957,1.206919121978073
15.0,9.75,33.60977267272126,1.1763420435452443,0.23183142683012517,1.2288420435452443
15.0,10.0,34.23550197873049,1.1982425692555672,0.23632698070846497,1.2507425692555671
15.0,10.25,34.86057949013145,1.2201202821546009,0.2408294574599015,1.2726202821546009
15.0,10.5,35.48499330634937,1.241974765722228,0.24533904493153438,1.294474765722228
15.0,10.75,36.10873153944524,1.2638056038805834,0.24985593210665913,1.3163056038805836
15.0,11.0,36.731782314342226,1.285612381001978,0.2543803091377185,1.338112381001978
15.0,11.25,37.35413376905166,1.307394681916808,0.258912367379658,1.359894681916808
15.0,11.5,37.97577405489897,1.329152091921464,0.26345229942369935,1.381652091921464
15.0,11.75,38.596691336749174,1.3508841967862213,0.2680002991315442,1.4033841967862213
15.0,12.0,39.21687379323225,1.372590582763129,0.2725565616700221,1.425090582763129
15.0,12.25,39.83630961696821,1.3942708365938874,0.27712128354619614,1.4467708365938874
15.0,12.5,40.454987014791875,1.4159245455177158,0.28169466264293985,1.4684245455177158
15.0,12.75,41.072894207977384,1.4375512972792086,0.2862768982550008,1.4900512972792086
15.0,13.0,41.69001943246247,1.4591506801361867,0.2908681911255631,1.5116506801361866
15.0,13.25,42.30635093907242,1.480722282867535,0.29546874348332675,1.5332222828675353
15.0,13.5,42.92187699374381,1.5022656947810333,0.30007875908011605,1.5547656947810335
15.0,13.75,43.536585877747775,1.5237805057211722,0.3046984432290344,1.5762805057211726
15.0,14.0,44.15046588791328,1.545266306076965,0.3093280028431807,1.597766306076965
