turn_radius_m,body_speed_m_s,wheel,steering_deg,rolling_speed_m_s,wheel_rpm
0.65,0.25,FL,67.82964551777485,0.1885560987262515,12.861272212459868
0.65,0.25,FR,22.154918987948317,0.463032996894409,31.583138687314037
0.65,0.25,RL,-67.82964551777485,0.1885560987262515,12.861272212459868
0.65,0.25,RR,-22.154918987948317,0.463032996894409,31.583138687314037
0.675,0.25,FL,65.17685962711134,0.1852651679126461,12.636800252591838
0.675,0.25,FR,21.71470286441643,0.4544726665751453,30.999244879538214
0.675,0.25,RL,-65.17685962711134,0.1852651679126461,12.636800252591838
0.675,0.25,RR,-21.71470286441643,0.4544726665751453,30.999244879538214
0.7000000000000001,0.25,FL,62.632960545554944,0.1825768638806401,12.453433020351426
0.7000000000000001,0.25,FR,21.290841273689946,0.4465486981236406,30.458756844697703
0.7000000000000001,0.25,RL,-62.632960545554944,0.1825768638806401,12.453433020351426
0.7000000000000001,0.25,RR,-21.290841273689946,0.4465486981236406,30.458756844697703
0.7250000000000001,0.25,FL,60.20078417262853,0.18040646405022695,12.305391651138827
0.7250000000000001,0.25,FR,20.882483364475693,0.4391939433294962,29.957094452961886
0.7250000000000001,0.25,RL,-60.20078417262853,0.18040646405022695,12.305391651138827
0.7250000000000001,0.25,RR,-20.882483364475693,0.4391939433294962,29.957094452961886
0.75,0.25,FL,57.88131699988301,0.17868065865610014,12.187675740014567
0.75,0.25,FR,20.48883309252972,0.43235029522110635,29.490294270719712
0.75,0.25,RL,-57.88131699988301,0.17868065865610014,12.187675740014567
0.75,0.25,RR,-20.48883309252972,0.43235029522110635,29.490294270719712
0.775,0.25,FL,55.673981220222515,0.17733605082429318,12.095961033035074
0.775,0.25,FR,20.10914517104471,0.4259672228258371,29.05490961765377
0.775,0.25,RL,-55.673981220222515,0.17733605082429318,12.095961033035074
0.775,0.25,RR,-20.10914517104471,0.4259672228258371,29.05490961765377
0.8,0.25,FL,53.5769231963977,0.17631786149239106,12.026511090816934
0.8,0.25,FR,19.74272134231973,0.4200005812868001,28.647929405684412
0.8,0.25,RL,-53.5769231963977,0.17631786149239106,12.026511090816934
0.8,0.25,RR,-19.74272134231973,0.4200005812868001,28.647929405684412
0.8250000000000001,0.25,FL,51.58728791539875,0.17557880145058688,11.976100351290578
0.8250000000000001,0.25,FR,19.388906945694156,0.41441163886637583,28.266711771598764
0.8250000000000001,0.25,RL,-51.58728791539875,0.17557880145058688,11.976100351290578
0.8250000000000001,0.25,RR,-19.388906945694156,0.41441163886637583,28.266711771598764
0.8500000000000001,0.25,FL,49.70146813570335,0.1750780844084673,11.941946811714711
0.8500000000000001,0.25,FR,19.047087758230763,0.40916627613048867,27.90892945400171
0.8500000000000001,0.25,RL,-49.70146813570335,0.1750780844084673,11.941946811714711
0.8500000000000001,0.25,RR,-19.047087758230763,0.40916627613048867,27.90892945400171
0.875,0.25,FL,47.91532211664252,0.17478056212851353,11.921653036771305
