payload_kg,downhill_front_slope_deg,COM_x_m,COM_z_m,front_edge_margin_m,front_static_tip_deg,lateral_static_tip_deg
0.0,0.0,0.0,0.58,0.454,38.05236939863048,38.719992874300225
0.0,0.5,0.0,0.58,0.4489384166813599,38.05236939863048,38.719992874300225
0.0,1.0,0.0,0.58,0.4438760623416338,38.05236939863048,38.719992874300225
0.0,1.5,0.0,0.58,0.4388121654898716,38.05236939863048,38.719992874300225
0.0,2.0,0.0,0.58,0.43374595369478636,38.05236939863048,38.719992874300225
0.0,2.5,0.0,0.58,0.428676653113063,38.05236939863048,38.719992874300225
0.0,3.0,0.0,0.58,0.42360348801583614,38.05236939863048,38.719992874300225
0.0,3.5,0.0,0.58,0.41852568031271914,38.05236939863048,38.719992874300225
0.0,4.0,0.0,0.58,0.41344244907276395,38.05236939863048,38.719992874300225
0.0,4.5,0.0,0.58,0.4083530100417213,38.05236939863048,38.719992874300225
0.0,5.0,0.0,0.58,0.4032565751549641,38.05236939863048,38.719992874300225
0.0,5.5,0.0,0.58,0.39815235204542765,38.05236939863048,38.719992874300225
0.0,6.0,0.0,0.58,0.39303954354590764,38.05236939863048,38.719992874300225
0.0,6.5,0.0,0.58,0.3879173471850456,38.05236939863048,38.719992874300225
0.0,7.0,0.0,0.58,0.38278495467631535,38.05236939863048,38.719992874300225
0.0,7.5,0.0,0.58,0.37764155139931044,38.05236939863048,38.719992874300225
0.0,8.0,0.0,0.58,0.372486315872613,38.05236939863048,38.719992874300225
0.0,8.5,0.0,0.58,0.3673184192175059,38.05236939863048,38.719992874300225
0.0,9.0,0.0,0.58,0.362137024611769,38.05236939863048,38.719992874300225
0.0,9.5,0.0,0.58,0.3569412867327767,38.05236939863048,38.719992874300225
0.0,10.0,0.0,0.58,0.35173035118909035,38.05236939863048,38.719992874300225
0.0,10.5,0.0,0.58,0.3465033539397101,38.05236939863048,38.719992874300225
0.0,11.0,0.0,0.58,0.3412594207001233,38.05236939863048,38.719992874300225
0.0,11.5,0.0,0.58,0.33599766633425443,38.05236939863048,38.719992874300225
0.0,12.0,0.0,0.58,0.3307171942313872,38.05236939863048,38.719992874300225
0.0,12.5,0.0,0.58,0.32541709566709487,38.05236939863048,38.719992874300225
