assumed_tau_s,speed_m_s,distance_to_90pct_m,minimum_dwell_90pct_s,minimum_dwell_95pct_s
5.0,0.025,0.28782313662425574,11.51292546497023,14.978661367769954
5.0,0.03,0.34538776394910686,11.51292546497023,14.978661367769954
5.0,0.035,0.40295239127395804,11.51292546497023,14.978661367769954
5.0,0.04,0.4605170185988092,11.51292546497023,14.978661367769954
5.0,0.045,0.5180816459236602,11.51292546497023,14.978661367769954
5.0,0.049999999999999996,0.5756462732485114,11.51292546497023,14.978661367769954
5.0,0.05499999999999999,0.6332109005733626,11.51292546497023,14.978661367769954
5.0,0.06,0.6907755278982137,11.51292546497023,14.978661367769954
5.0,0.065,0.748340155223065,11.51292546497023,14.978661367769954
5.0,0.06999999999999999,0.805904782547916,11.51292546497023,14.978661367769954
5.0,0.07499999999999998,0.863469409872767,11.51292546497023,14.978661367769954
5.0,0.07999999999999999,0.9210340371976181,11.51292546497023,14.978661367769954
5.0,0.08499999999999999,0.9785986645224694,11.51292546497023,14.978661367769954
5.0,0.09,1.0361632918473205,11.51292546497023,14.978661367769954
5.0,0.095,1.0937279191721718,11.51292546497023,14.978661367769954
5.0,0.09999999999999998,1.1512925464970227,11.51292546497023,14.978661367769954
5.0,0.10499999999999998,1.2088571738218739,11.51292546497023,14.978661367769954
5.0,0.10999999999999999,1.2664218011467252,11.51292546497023,14.978661367769954
5.0,0.11499999999999999,1.3239864284715763,11.51292546497023,14.978661367769954
5.0,0.12,1.3815510557964275,11.51292546497023,14.978661367769954
5.0,0.12499999999999997,1.4391156831212784,11.51292546497023,14.978661367769954
5.0,0.12999999999999998,1.4966803104461297,11.51292546497023,14.978661367769954
5.0,0.13499999999999998,1.5542449377709808,11.51292546497023,14.978661367769954
5.0,0.13999999999999999,1.611809565095832,11.51292546497023,14.978661367769954
5.0,0.145,1.6693741924206833,11.51292546497023,14.978661367769954
5.0,0.15,1.7269388197455344,11.51292546497023,14.978661367769954
5.0,0.15499999999999997,1.7845034470703853,11.51292546497023,14.978661367769954
5.0,0.15999999999999998,1.8420680743952362,11.51292546497023,14.978661367769954
5.0,0.16499999999999998,1.8996327017200878,11.51292546497023,14.978661367769954
5.0,0.16999999999999998,1.9571973290449387,11.51292546497023,14.978661367769954
5.0,0.17499999999999996,2.0147619563697896,11.51292546497023,14.978661367769954
5.0,0.17999999999999997,2.072326583694641,11.51292546497023,14.978661367769954
5.0,0.18499999999999997,2.129891211019492,11.51292546497023,14.978661367769954
